race,hours,age,parttime,educ,logwg,loghrwg,married,nevermar,sepdivw
1,60,57,0,14,7.561673,3.467328,1,0,0
1,40,59,0,18,6.868536,3.179657,1,0,0
1,40,53,0,10,6.092011,2.403131,1,0,0
1,40,63,0,12,6.340906,2.652026,1,0,0
1,20,60,0,8,5.87085,2.875117,1,0,0
1,45,60,0,9,5.992239,2.185577,1,0,0
1,40,29,0,16,6.170155,2.481275,1,0,0
1,40,43,0,16,6.594099,2.905219,0,0,1
1,60,34,0,16,7.561673,3.467328,1,0,0
1,40,21,0,10,5.618152,1.929273,0,1,0
1,45,18,0,12,2.571084,-1.235578,0,1,0
1,50,40,0,12,6.173786,2.261763,0,0,1
1,40,29,0,14,6.642891,2.954011,1,0,0
1,36,30,0,16,6.717708,3.134189,1,0,0
1,45,47,0,17,6.171387,2.364725,1,0,0
1,40,38,0,14,6.945494,3.256615,1,0,0
1,40,38,0,15,7.467371,3.778491,0,0,1
1,40,41,0,16,7.146166,3.457286,1,0,0
1,40,54,0,12,6.117767,2.428887,1,0,0
1,40,42,0,14,6.327937,2.639057,1,0,0
1,40,24,0,8,5.533706,1.844826,0,1,0
1,40,28,0,14,6.459059,2.77018,1,0,0
1,40,27,0,12,5.441422,1.752542,1,0,0
1,63,43,0,12,6.785158,2.642023,1,0,0
1,52,57,0,16,7.122165,3.170921,1,0,0
1,40,46,0,8,5.483925,1.795046,1,0,0
1,36,22,0,12,5.926926,2.343407,0,1,0
1,25,20,1,10,5.828946,2.61007,0,1,0
1,40,33,0,14,6.482878,2.793998,1,0,0
1,48,30,0,12,6.502295,2.631094,1,0,0
1,80,50,0,18,4.536784,0.1547576,1,0,0
1,30,21,1,7,4.543827,1.142629,0,1,0
1,50,22,0,16,4.237434,0.3254113,0,1,0
1,50,39,0,16,5.952256,2.040233,1,0,0
1,45,37,0,11,6.357704,2.551041,0,0,1
1,40,40,0,16,6.141822,2.452943,0,0,1
1,50,30,0,12,5.035978,1.123955,1,0,0
1,66,19,0,8,5.259109,1.069454,1,0,0
1,45,47,0,14,6.511864,2.705202,1,0,0
1,35,33,0,9,5.39762,1.842272,0,0,1
1,40,57,0,6,6.092011,2.403131,0,0,1
1,50,39,0,16,6.357704,2.445681,1,0,0
1,21,28,1,14,5.227734,2.183212,0,1,0
1,40,35,0,12,6.19518,2.506301,0,0,1
1,40,54,0,16,6.306421,2.617542,1,0,0
1,45,38,0,16,7.133974,3.327312,1,0,0
1,40,23,0,12,6.001043,2.312164,0,1,0
1,40,32,0,12,5.952256,2.263376,1,0,0
1,50,28,0,12,5.800062,1.888039,0,1,0
1,40,59,0,13,6.288713,2.599834,1,0,0
1,40,37,0,15,6.482878,2.793998,1,0,0
1,40,48,0,12,6.323803,2.634924,1,0,0
1,40,36,0,14,6.907755,3.218876,1,0,0
